image,video_path,title,duration,views,date_posted,title_lower,series,error,days_since_posted,views_int,duration_sec,duration_min
https://i.ytimg.com/vi/_0rhmyroDF0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCt-F4oqTHsUR8aWexoj9-PRpP80A,/watch?v=_0rhmyroDF0,Do You Have What It Takes To Live On Mars?,      3:38    ,706K ,2 years ago,do you have what it takes to live on mars?,None,True,730,70600000,188,3.13
https://i.ytimg.com/vi/9utmDhDLicU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_OxW3zGWucu5DvztQBhg0A56ijw,/watch?v=9utmDhDLicU,How Do You Build A Refugee Camp?,      12:24    ,1.4M ,2 years ago,how do you build a refugee camp?,None,True,730,1400000,624,10.4
https://i.ytimg.com/vi/hvu4D1jngCY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCt0pbNrhXb5Od93e8mlK6vMBbWUg,/watch?v=hvu4D1jngCY,Can You Remember This?,      3:28    ,769K ,2 years ago,can you remember this?,None,True,730,76900000,178,2.97
https://i.ytimg.com/vi/KJRzgl0FuMA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBgv5m9MUPBFA07X-Gmzp93rO4ByQ,/watch?v=KJRzgl0FuMA,Is Binge Watching Bad For You?,      2:43    ,1.7M ,3 years ago,is binge watching bad for you?,None,True,1095,1700000,143,2.38
https://i.ytimg.com/vi/T_UPnh9nLkg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBnkS-pZ758l7OX4HjcjEYmTkGmxw,/watch?v=T_UPnh9nLkg,How Did You Get Here?,      5:56    ,1.1M ,3 years ago,how did you get here?,None,True,1095,1100000,306,5.1
https://i.ytimg.com/vi/3jhZX_72C8c/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCP9N5VqQFUooHd6dDkZfP6tZDgaA,/watch?v=3jhZX_72C8c,What If You Only Ate Human Flesh?,      3:27    ,3.1M ,3 years ago,what if you only ate human flesh?,None,True,1095,3100000,177,2.95
https://i.ytimg.com/vi/lDecu0ME1Zo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBn0F0-WzvJmKX08NqWcDMJpybXeg,/watch?v=lDecu0ME1Zo,7 Simple Tips To Reduce Your STRESS Right Now,      3:04    ,2.4M ,3 years ago,7 simple tips to reduce your stress right now,None,True,1095,2400000,154,2.57
https://i.ytimg.com/vi/wG5JyorwYPo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCLlokzVHBgS38Jh6cMLYMsseViug,/watch?v=wG5JyorwYPo,Your Brain on LSD and Acid,      3:32    ,7M ,3 years ago,your brain on lsd and acid,None,True,1095,7000000,182,3.03
https://i.ytimg.com/vi/zhWDdy_5v2w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC7_9NExZgea1ISm28BfGXokqVS_Q,/watch?v=zhWDdy_5v2w,What Happens In One Minute?,      1:01    ,4.3M ,3 years ago,what happens in one minute?,None,True,1095,4300000,51,0.85
https://i.ytimg.com/vi/nn42RC1zT_A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBOhBh739bdHzuwDaNJolw77OP0uA,/watch?v=nn42RC1zT_A,Why Are You Always Tired?,      3:10    ,6.5M ,3 years ago,why are you always tired?,None,True,1095,6500000,160,2.67
https://i.ytimg.com/vi/a_odVQK-TSc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-tkpIVBiR3owowiVqSle3reTLig,/watch?v=a_odVQK-TSc,Are You Normal?,      3:18    ,10M ,3 years ago,are you normal?,None,True,1095,10000000,168,2.8
https://i.ytimg.com/vi/SxsgoBaGnPg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDwxUigKuVAcwsUi3skP3hezPKPvA,/watch?v=SxsgoBaGnPg,6 Ways To Appear Smarter Than You Are ft. Lilly Singh,      4:06    ,1M ,3 years ago,6 ways to appear smarter than you are ft. lilly singh,None,True,1095,1000000,206,3.43
https://i.ytimg.com/vi/gxSUqr3ouYA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAffXNDIx-JplxtGFzyu7dAFoyJhg,/watch?v=gxSUqr3ouYA,This ≠ That,      3:45    ,1.6M ,3 years ago,this ≠ that,None,True,1095,1600000,195,3.25
https://i.ytimg.com/vi/pUhJnKKQDTE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAX9wGniz9QwlHRcLCiOwbPKUGDKQ,/watch?v=pUhJnKKQDTE,Your Brain On Edible Marijuana,      2:36    ,5.2M ,3 years ago,your brain on edible marijuana,None,True,1095,5200000,136,2.27
https://i.ytimg.com/vi/Ylk4d8aNjO4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBrF45x3Bc0CGgbHrP5uVRAb71nSw,/watch?v=Ylk4d8aNjO4,Our DNA Test Results! | The LAB,      5:04    ,827K ,3 years ago,our dna test results! | the lab, The LAB,False,1095,82700000,254,4.23
https://i.ytimg.com/vi/-jxdIt2_WI0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB-cqLSDCiwnbI9bgxbwvl5gi-tIw,/watch?v=-jxdIt2_WI0,Can Math Prove God's Existence?,      4:33    ,4.1M ,3 years ago,can math prove god's existence?,None,True,1095,4099999,233,3.88
https://i.ytimg.com/vi/HKJFESU7hqE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAe1mq0t0v7E1IRQvEc_8xV0tTVow,/watch?v=HKJFESU7hqE,Are Boys Smarter Than Girls?,      4:41    ,6.5M ,3 years ago,are boys smarter than girls?,None,True,1095,6500000,241,4.02
,/watch?v=zNLfP-hB4xg,Testing Hangover Cures ft. Mamrie Hart | The LAB,      7:07    ,779K ,3 years ago,testing hangover cures ft. mamrie hart | the lab, The LAB,False,1095,77900000,357,5.95
,/watch?v=DZAMKuXJOcg,You Are Not The Majority,      3:21    ,2.6M ,3 years ago,you are not the majority,None,True,1095,2600000,171,2.85
,/watch?v=6sRJIObMErw,How To 3D Print Yourself! | The LAB,      4:19    ,334K ,3 years ago,how to 3d print yourself! | the lab, The LAB,False,1095,33400000,219,3.65
,/watch?v=1el8BMn1QM0,You Aren't Supposed To Watch This,      2:48    ,1.6M ,3 years ago,you aren't supposed to watch this,None,True,1095,1600000,148,2.47
,/watch?v=o3I0mJ2RfU0,What Happens When You Stop Smoking?,      3:29    ,11M ,3 years ago,what happens when you stop smoking?,None,True,1095,11000000,179,2.98
https://i.ytimg.com/vi/JL4Kqfxg2KU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD1EOKsjFqhp-G0IpQBEFwgNcft3A,/watch?v=JL4Kqfxg2KU,What If We Have A Nuclear War?,      5:02    ,4.1M ,3 years ago,what if we have a nuclear war?,None,True,1095,4099999,252,4.2
https://i.ytimg.com/vi/A4C4L0pCFZM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAmQOYQGmghsDHquClo8XNASxec8Q,/watch?v=A4C4L0pCFZM,Can We Make This Taste Good? Ft. Hannah Hart (The LAB),      5:36    ,561K ,3 years ago,can we make this taste good? ft. hannah hart (the lab),None,True,1095,56100000,286,4.77
https://i.ytimg.com/vi/ckXNabjF9HU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAL9ik5YBjQVy0uQAkKakddC-aS4w,/watch?v=ckXNabjF9HU,Is Hand Sanitizer Actually Bad For You?,      3:34    ,1M ,3 years ago,is hand sanitizer actually bad for you?,None,True,1095,1000000,184,3.07
https://i.ytimg.com/vi/t2Hl6-jWGcw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD8A2Z22iNG4W6zvkIDr3BTmNBmGw,/watch?v=t2Hl6-jWGcw,What If You Fell From 356 Meters? (THE LAB),      5:09    ,574K ,3 years ago,what if you fell from 356 meters? (the lab),None,True,1095,57400000,259,4.32
https://i.ytimg.com/vi/vWKqeJxzeBc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDsJ4hygdQ6fENaH2xXP2WituzT5w,/watch?v=vWKqeJxzeBc,What Actually Happens When You Have An Abortion?,      3:39    ,6M ,3 years ago,what actually happens when you have an abortion?,None,True,1095,6000000,189,3.15
https://i.ytimg.com/vi/NbqTkHNmlvM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBH5fsXV0kJVfaQdrtsFlcnbD4X0g,/watch?v=NbqTkHNmlvM,This Is Why New Year's SUCKS!,      3:35    ,2.1M ,3 years ago,this is why new year's sucks!,None,True,1095,2100000,185,3.08
https://i.ytimg.com/vi/H6hpJzK5vUo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDijgDVSG3v1rLdXCjA8xTE93-8zA,/watch?v=H6hpJzK5vUo,Science Christmas Carols ft. Jon Cozart,      3:39    ,1.7M ,3 years ago,science christmas carols ft. jon cozart,None,True,1095,1700000,189,3.15
https://i.ytimg.com/vi/zTeaOTkjut0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfDLpzoXvCkYD71V4BNXgYoEjyDg,/watch?v=zTeaOTkjut0,What Happens When You're Drunk AND Stoned At The Same Time?,      2:28    ,9.6M ,3 years ago,what happens when you're drunk and stoned at the same time?,None,True,1095,9600000,128,2.13
https://i.ytimg.com/vi/0NPH_udOOek/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLABWmJKs74qDGAh21PM0FuWW4UNKg,/watch?v=0NPH_udOOek,You Can't See This (MIND TRICKS),      2:55    ,7.9M ,3 years ago,you can't see this (mind tricks),None,True,1095,7900000,155,2.58
https://i.ytimg.com/vi/qH4WUUQ5pOI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB9cO6rjnCML7UIy-GxL3XSPZ1LIQ,/watch?v=qH4WUUQ5pOI,Mitosis vs Meiosis RAP BATTLE!,      3:02    ,2.1M ,3 years ago,mitosis vs meiosis rap battle!,None,True,1095,2100000,152,2.53
https://i.ytimg.com/vi/TGx8rjgdIXk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCGGRH2knUUW6OtlAFqAAuCfuZVzg,/watch?v=TGx8rjgdIXk,Should You Trust Your Gut Instinct?,      4:26    ,1.6M ,3 years ago,should you trust your gut instinct?,None,True,1095,1600000,226,3.77
