,image,video_path,title,duration,views,date_posted
34,https://i.ytimg.com/vi/3PcUMJAcpSE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBWnKrDgn7KoiEwDxfPP4iFZSsbTg,/watch?v=3PcUMJAcpSE,Just Marinate & Roast! Asian Style Roast Chicken 亚洲烤鸡 Super Easy Oven (Air Fryer) Chicken Recipe,"
      5:33
    ",50K views,5 months ago
35,https://i.ytimg.com/vi/YxJB_WSl3K8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC6KzJDOTS8zFi4iC9Y36zrvKcE3g,/watch?v=YxJB_WSl3K8,Secret Nasi Lemak Sambal Chilli Recipe 椰浆饭辣椒 Inspired by Punggol Nasi Lemak,"
      5:32
    ",26K views,5 months ago
36,https://i.ytimg.com/vi/zszwfT8XoGk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC2BXRDdQD981RFHRvXzvDFMsgqPA,/watch?v=zszwfT8XoGk,Super Easy Pressure Cooked Asian Style Pot Roast  | Easy Multi Cooker Beef Chuck Tender Recipe,"
      7:57
    ",12K views,5 months ago
37,https://i.ytimg.com/vi/ugg8CM3SLWE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfRVR43HHVOQFquEyHKn64oIaI-A,/watch?v=ugg8CM3SLWE,Super Crispy Asian Style Oven Baked Porchetta | Crunchy Italian X Asian Crispy Pork Recipe,"
      12:06
    ",11K views,5 months ago
38,https://i.ytimg.com/vi/yX55d-zHY6M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD9WvitADxPoxGaepf89jSTgLFs1g,/watch?v=yX55d-zHY6M,How to Make the Best Rice Cooker Coconut Rice for Nasi Lemak 电饭锅椰浆饭,"
      3:39
    ",30K views,5 months ago
39,https://i.ytimg.com/vi/sNgJdh8u9PI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDOVzZOU41betBvP7BOdFt1z4CwcQ,/watch?v=sNgJdh8u9PI,Part I: Diabetes-friendly Recipes For A Nutritious Breakfast,"
      10:01
    ",5.3K views,5 months ago
40,https://i.ytimg.com/vi/v0HarlZ7Csk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCwxK4TlZ4lEGgqFz0sL64HBLTIbg,/watch?v=v0HarlZ7Csk,One Pot Hong Kong Borscht Soup 港式羅宋湯 Pressure- Multi-Cooker Beef Shin Stew • Instantpot,"
      6:42
    ",16K views,5 months ago
41,https://i.ytimg.com/vi/74XbdlBjCPY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBTx2j-OTaXSdcNYkCbg9GYHe2Zsg,/watch?v=74XbdlBjCPY,Super Easy Rice Cooker Tomato Rice w/ Chicken Recipe 电饭锅番茄鸡饭 Multi-cooker Recipe | Lunch Bento / Box,"
      6:04
    ",18K views,5 months ago
42,https://i.ytimg.com/vi/cbuO8W1jV7s/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDHB1jEqWGv026xRl2GUZzbb9JBrg,/watch?v=cbuO8W1jV7s,The Easiest Baked Garlic Soy Fish Fillet Recipe Ever! 蒜香烤鱼 Chinese Fish Lunch or Dinner Recipe Idea,"
      6:07
    ",18K views,5 months ago
43,https://i.ytimg.com/vi/ThrvqoRgwzg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCEHGaHhR4SsQTExA6rEiE80kEgjQ,/watch?v=ThrvqoRgwzg,Best Ever One Pan Shrimp Pasta • Singapore Hokkien Prawn Mee Style Recipe | Chinese Seafood Noodles,"
      6:56
    ",25K views,5 months ago
44,https://i.ytimg.com/vi/fgnN_qwgMQw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCy5u7mUKIQZeq_V95wXF7v-DJEqw,/watch?v=fgnN_qwgMQw,2 in 1 Recipe! Chinese Braised Stuffed Tofu & Tofu Meatballs 红烧酿豆腐 | 豆腐肉圆 Homecooked Food Recipe,"
      10:25
    ",9K views,5 months ago
45,https://i.ytimg.com/vi/PguKdkm8qhY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDOkZKhZV-KRHN-YPtimo7M9jLTsg,/watch?v=PguKdkm8qhY,Dry Mee Siam 干炒米暹 How to cook bee hoon w/o breaking • Mee Siam Goreng • Bihun / Noodle Stir Fry,"
      8:16
    ",79K views,6 months ago
46,https://i.ytimg.com/vi/DXUrM7rLU2I/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDmoOnG47ltPTPZ9OHiNh8wM0yhwA,/watch?v=DXUrM7rLU2I,Best Rice Topper! Tasty Steamed Tofu w/ Minced Pork Sauce 豆腐蒸肉饼 Easy Chinese Food Recipe,"
      4:22
    ",28K views,6 months ago
47,https://i.ytimg.com/vi/c3f_HD6FBg0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHnNNYu7WPn5xwSv5hB_bfHnQwGg,/watch?v=c3f_HD6FBg0,Fast & Delicious Chinese Fried Rice w/ Beef 牛肉炒饭 Stir Fry Meals | Super Easy One Pot Recipe,"
      7:48
    ",17K views,6 months ago
48,https://i.ytimg.com/vi/rHufjsQ1OyA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDSVSMFPPK9HSWuv0QQz2s8c1lO7g,/watch?v=rHufjsQ1OyA,Got Oven? Make these Super Easy Tandoori Chicken! 印度烤鸡 Indian Chicken Recipe • Tandoor Recipe,"
      5:59
    ",16K views,6 months ago
49,https://i.ytimg.com/vi/vNMETuGLgOw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDLzgK4hDgzNROO30afRSW-X7bL6A,/watch?v=vNMETuGLgOw,Easy & Delicious Rice Cooker Chinese Pork Belly w/ Taro (Yam) 客家芋头扣肉 Chinese Hakka Pork Recipe,"
      7:59
    ",42K views,6 months ago
50,https://i.ytimg.com/vi/IU-XhazqhlA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBb_d-QhgcOtMZFxQwFs0dfRtnXyQ,/watch?v=IU-XhazqhlA,Super Yummy! Fried Fish & Bitter Gourd in Bean Sauce 苦瓜焖鱼 Chinese Stir Fry Recipe (Bitter Melon),"
      6:55
    ",19K views,6 months ago
